NameTo,NameFrom,To,From,Migrants,PopulationTo,PopulationFrom,Distance
Utrecht ,Utrecht ,17,17,0,1152218,1152218,0
Utrecht ,Kop van Noord-Holland ,17,18,374,1152218,361764,87.37
Utrecht ,Alkmaar en omgeving ,17,19,255,1152218,223936,67.04
Utrecht ,IJmond ,17,20,134,1152218,187456,56.26
Utrecht ,Agglomeratie Haarlem ,17,21,396,1152218,217606,48.92
Utrecht ,Zaanstreek ,17,22,172,1152218,154974,48.58
Utrecht ,Groot-Amsterdam ,17,23,3120,1152218,1184987,41.03
Utrecht ,Het Gooi en Vechtstreek ,17,24,1718,1152218,242397,15.42
Utrecht ,Aggl. Leiden en Bollenstreek ,17,25,647,1152218,387763,48.7
Utrecht ,Agglomeratie 's-Gravenhage ,17,26,1441,1152218,759778,57.37
Utrecht ,Delft en Westland ,17,27,301,1152218,210980,66.33
Utrecht ,Oost-Zuid-Holland ,17,28,1129,1152218,322858,34.65
Utrecht ,Groot-Rijnmond ,17,29,1815,1152218,1359640,70.14
Utrecht ,Zuidoost-Zuid-Holland ,17,30,784,1152218,398963,38.48
Utrecht ,Flevoland ,17,40,1168,1152218,351680,53.17
Kop van Noord-Holland ,Utrecht ,18,17,299,361764,1152218,87.37
Kop van Noord-Holland ,Kop van Noord-Holland ,18,18,0,361764,361764,0
Kop van Noord-Holland ,Alkmaar en omgeving ,18,19,1407,361764,223936,29.52
Kop van Noord-Holland ,IJmond ,18,20,257,361764,187456,47.86
Kop van Noord-Holland ,Agglomeratie Haarlem ,18,21,325,361764,217606,62.14
Kop van Noord-Holland ,Zaanstreek ,18,22,384,361764,154974,47.38
Kop van Noord-Holland ,Groot-Amsterdam ,18,23,1662,361764,1184987,54.15
Kop van Noord-Holland ,Het Gooi en Vechtstreek ,18,24,87,361764,242397,71.96
Kop van Noord-Holland ,Aggl. Leiden en Bollenstreek ,18,25,94,361764,387763,82.57
Kop van Noord-Holland ,Agglomeratie 's-Gravenhage ,18,26,174,361764,759778,99.21
Kop van Noord-Holland ,Delft en Westland ,18,27,51,361764,210980,111.4
Kop van Noord-Holland ,Oost-Zuid-Holland ,18,28,104,361764,322858,93.22
Kop van Noord-Holland ,Groot-Rijnmond ,18,29,263,361764,1359640,124.31
